Date,Open,High,Low,Close,Adj Close,Volume
2011-12-19,2.958868,3.085252,2.945858,3.003474,2.329615,2913557
2011-12-20,3.025777,3.075959,2.988605,3.026706,2.347634,4914190
2011-12-21,3.066666,3.072242,2.978383,3.015555,2.338985,3309513
2011-12-22,2.983959,3.048080,2.969090,3.021131,2.343310,5442301
2011-12-23,3.027636,3.048080,2.996969,3.028565,2.349076,2648014
2011-12-27,3.021131,3.093616,3.014626,3.089898,2.396648,1091117
2011-12-28,3.101979,3.159595,3.075959,3.122424,2.421876,2828016
2011-12-29,3.116848,3.202343,3.113131,3.175393,2.462961,5252558
2011-12-30,3.181898,3.247878,3.181898,3.247878,2.519184,11764544
2012-01-02,3.250666,3.325939,3.159595,3.325939,2.579731,4869714
2012-01-03,3.341737,3.341737,3.226504,3.305494,2.563873,9175194
2012-01-04,3.275757,3.390989,3.261818,3.313858,2.570361,9044151
2012-01-05,3.345454,3.410504,3.312929,3.386343,2.626583,15087740
2012-01-06,3.370545,3.494141,3.370545,3.477414,2.697221,22000781
2012-01-09,3.475555,3.512727,3.410504,3.445818,2.672714,12981750
2012-01-10,3.453252,3.483919,3.345454,3.395636,2.633791,7860528
2012-01-11,3.386343,3.438383,3.345454,3.345454,2.594868,6195375
2012-01-12,3.372403,3.384484,3.219999,3.289696,2.551620,10202549
2012-01-13,3.320363,3.379838,3.302706,3.360323,2.606401,5301723
2012-01-16,3.345454,3.403999,3.308282,3.317575,2.573244,18103039
2012-01-17,3.354747,3.413292,3.322222,3.327797,2.581172,6268428
2012-01-18,3.334302,3.368686,3.273898,3.333373,2.585497,3364281
2012-01-19,3.364040,3.364040,3.280403,3.346383,2.595588,6786711
2012-01-20,3.351030,3.391919,3.310141,3.378908,2.620816,5429671
2012-01-23,3.377979,3.440242,3.363110,3.437454,2.666226,5121043
2012-01-24,3.429090,3.500646,3.404929,3.452323,2.677759,6079605
2012-01-25,3.466262,3.484848,3.345454,3.393777,2.632349,7747225
2012-01-26,3.416080,3.438383,3.382626,3.396565,2.634511,2969873
2012-01-27,3.391919,3.452323,3.368686,3.368686,2.612887,5559593
2012-01-30,3.345454,3.385414,3.290626,3.300848,2.560269,5236134
2012-01-31,3.316646,3.336161,3.271110,3.281333,2.545133,6322935
2012-02-01,3.298989,3.398424,3.294343,3.388201,2.628024,4566797
2012-02-02,3.417009,3.435595,3.326868,3.364969,2.610004,4472503
2012-02-03,3.371474,3.405858,3.348242,3.387272,2.627303,3319307
2012-02-06,3.391919,3.419797,3.373333,3.388201,2.628024,2789193
2012-02-07,3.383555,3.383555,3.313858,3.313858,2.570361,4978585
2012-02-08,3.318504,3.338949,3.289696,3.289696,2.551620,6182219
2012-02-09,3.298989,3.347312,3.284121,3.285050,2.548016,10804350
2012-02-10,3.280403,3.419797,3.280403,3.373333,2.616492,7394498
2012-02-13,3.391919,3.429090,3.364040,3.424444,2.656135,3393144
2012-02-14,3.417009,3.459757,3.355676,3.419797,2.652531,6341899
2012-02-15,3.395636,3.417009,3.262747,3.283191,2.546574,9843548
2012-02-16,3.252525,3.272040,3.193050,3.252525,2.522789,8170666
2012-02-17,3.266464,3.291555,3.193979,3.198626,2.480982,7834724
2012-02-20,3.212565,3.270181,3.169818,3.261818,2.529996,6543165
2012-02-21,3.267393,3.323151,3.236727,3.311070,2.568198,5190415
2012-02-22,3.311070,3.311070,3.239515,3.239515,2.512697,4339635
2012-02-23,3.252525,3.262747,3.178181,3.198626,2.480982,2875604
2012-02-24,3.204201,3.322222,3.183757,3.298060,2.558107,5396207
2012-02-27,3.289696,3.298989,3.230222,3.278545,2.542970,2526928
2012-02-28,3.390060,3.501575,3.365898,3.483919,2.702266,10428393
2012-02-29,3.524807,3.623312,3.409575,3.410504,2.645323,10283582
2012-03-01,3.416080,3.468121,3.373333,3.416080,2.649648,5949950
2012-03-02,3.409575,3.430020,3.336161,3.358464,2.604959,3746751
2012-03-05,3.355676,3.417939,3.350100,3.405858,2.641719,4586381
2012-03-06,3.404929,3.432807,3.341737,3.362181,2.607842,9644103
2012-03-07,3.353818,3.394706,3.311070,3.326868,2.580452,6005445
2012-03-08,3.332444,3.484848,3.315717,3.433737,2.663344,9011232
2012-03-09,3.452323,3.475555,3.391919,3.426302,2.657576,6594702
2012-03-12,3.429090,3.479272,3.417939,3.454181,2.679201,4277751
2012-03-13,3.471838,3.615878,3.440242,3.545252,2.749839,5665994
2012-03-14,3.568484,3.576848,3.453252,3.473696,2.694337,4704761
2012-03-15,3.466262,3.510868,3.421656,3.490424,2.707312,3971869
2012-03-16,3.501575,3.501575,3.391919,3.470908,2.692175,8539751
2012-03-19,3.475555,3.517373,3.429090,3.475555,2.695779,2160746
2012-03-20,3.483919,3.557333,3.475555,3.542464,2.747676,4421871
2012-03-21,3.548969,3.553616,3.495999,3.503434,2.717403,4882235
2012-03-22,3.494141,3.512727,3.450464,3.487636,2.705150,3044858
2012-03-23,3.480201,3.549898,3.476484,3.532242,2.739748,3486866
2012-03-26,3.540605,3.549898,3.482060,3.502504,2.716682,5261484
2012-03-27,3.518302,3.538747,3.449535,3.466262,2.688571,5151563
2012-03-28,3.469050,3.482060,3.302706,3.343595,2.593426,6535551
2012-03-29,3.330585,3.429090,3.302706,3.417939,2.651090,6617641
2012-03-30,3.410504,3.466262,3.364040,3.454181,2.679201,4512410
2012-04-02,3.466262,3.466262,3.396565,3.440242,2.668389,11849913
2012-04-03,3.453252,3.484848,3.425373,3.438383,2.666947,3749650
2012-04-04,3.432807,3.432807,3.287838,3.311999,2.568919,8246607
2012-04-05,3.311999,3.344525,3.225575,3.284121,2.547295,3998423
2012-04-10,3.252525,3.312929,3.210706,3.230222,2.505489,5447693
2012-04-11,3.230222,3.270181,3.132646,3.270181,2.536483,7101141
2012-04-12,3.293414,3.297131,3.207919,3.224646,2.501164,6342364
2012-04-13,3.224646,3.279474,3.156807,3.168888,2.457916,4438716
2012-04-16,3.159595,3.251595,3.136363,3.199555,2.481702,3149908
2012-04-17,3.206060,3.280403,3.180040,3.276686,2.541528,2495482
2012-04-18,3.285979,3.285979,3.131717,3.168888,2.457916,6335891
2012-04-19,3.191191,3.230222,3.146585,3.214424,2.493236,5030245
2012-04-20,3.215353,3.252525,3.174464,3.215353,2.493956,3601432
2012-04-23,3.206060,3.206060,3.080605,3.116848,2.417552,9573444
2012-04-24,3.146585,3.285979,3.114060,3.282262,2.545853,5955185
2012-04-25,3.285050,3.385414,3.285050,3.325939,2.579731,6033448
